"What publishing period should be used for Most Commented section?";"What publishing period should be used for Most Commented section?"
"Landing - Most Viewed Articles";"Landing - Most Viewed Articles"
"How many articles will be shown in the Most Viewed section? (Enter a number between 0 and 10)";"How many articles will be shown in the Most Viewed section? (Enter a number between 0 and 10)"
"Landing - Most Viewed Period";"Landing - Most Viewed Period"
"What publishing period should be used for Most Viewed section?";"What publishing period should be used for Most Viewed section?"


"List - Recent Articles";"List - Recent Articles"
"How many articles will be shown in the Recent Articles widget? (Enter a number between 0 and 10)";"How many articles will be shown in the Recent Articles widget? (Enter a number between 0 and 10)"
"List - Featured Articles";"List - Featured Articles"
"How many articles will be shown in the Featured Articles widget? (Enter a number between 0 and 10)";"How many articles will be shown in the Featured Articles widget? (Enter a number between 0 and 10)"
"List - Sponsored Articles";"List - Sponsored Articles"
"How many articles will be shown in the Sponsored Articles widget? (Enter a number between 0 and 10)";"How many articles will be shown in the Sponsored Articles widget? (Enter a number between 0 and 10)"



"All Time";"All Time"
"This Week";"This Week"
"This Month";"This Month"
"3 Months";"3 Months"
"6 Months";"6 Months"
"This Year";"This Year"

"Article Album";"Article Album"
"%s Photo";"%s Photo";"%s Photos"
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%1$s like";"%1$s like";"%1$s likes"
"View Photos";"View Photos"
"map";"map"
"Article Body";"Article Body"

"Nobody has posted an article with that criteria.";"Nobody has posted an article with that criteria."
"Be the first to <a href='%s'>post</a> one!";"Be the first to <a href='%s'>post</a> one!"
"Nobody has posted an article yet.";"Nobody has posted an article yet."

"Search Articles";"Search Articles"
"All Categories";"All Categories"

"%1$s's Tags";"%1$s's Tags"
"%1$s's Article";"%1$s's Article"
"%1$s's Articles";"%1$s's Articles"

"Edit Article";"Edit Article"
"Add Photos";"Add Photos"
"View All Photos";"View All Photos"
"Edit Article Photo";"Edit Article Photo"
"Delete Article Photo";"Delete Article Photo"
"Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
"View Article Photos";"View Article Photos"

"Publish Article";"Publish Article"

"Delete Article";"Delete Article"

"posted by";"posted by"
"posted by %s";"posted by %s"
"You do not have any article that match your search criteria.";"You do not have any article that match your search criteria."
"You do not have any articles.";"You do not have any articles."

"Get started by <a href='%1$s'>posting</a> a new article.";"Get started by <a href='%1$s'>posting</a> a new article."
"Get started by <a href='%1$s'>uploading</a> a new photo.";"Get started by <a href='%1$s'>uploading</a> a new photo."

"Article Posted";"Article Posted"
"Your article was successfully saved. Would you like to add some photos to it?";"Your article was successfully saved. Would you like to add some photos to it?"

"continue to view this article";"continue to view this article"

"This article has not been published yet.";"This article has not been published yet."
"No one will be able to view this article until you <a href='%1$s'>publish</a> it.";"No one will be able to view this article until you <a href='%1$s'>publish</a> it."

"The article you are looking for does not exist or has been deleted.";"The article you are looking for does not exist or has been deleted."
"Edit This Article";"Edit This Article"

"Categories";"Categories"
"All Categories";"All Categories"
"Archives";"Archives"

"This is a featured article.";"This is a featured article."

"Posted by %s";"Posted by %s"
"Posted by";"Posted by"
"Filed in";"Filed in"

"Article Photos";"Article Photos"
"Manage Photos";"Manage Photos"
"Save Changes";"Save Changes"
"Your changes were saved.";"Your changes were saved."
"This article does not have any photos.";"This article does not have any photos."

"File Upload";"File Upload"
"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code.";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code."

"Upload a Photo:";"Upload a Photo:"
"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your article.";"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your article."
"Clear List";"Clear List"

"Search";"Search"

"Title";"Title"
"Image Description";"Image Description"
"Delete Photo";"Delete Photo"

"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this article. (2MB maximum)";"Choose photos on your computer to add to this article. (2MB maximum)"
"Save Photos";"Save Photos"

