"_EMAIL_INVITE_CODE_BODY";"[header]

You have been invited by [sender_title] to join flutterclub.com, where fantasy betting and social networking come together! To join, please follow the link below:

http://[host][object_link]

----------------------------------------
[message]
----------------------------------------

[footer]"
"_EMAIL_NOTIFY_MESSAGE_NEW_SUBJECT";"You have received a new flutterclub message from [sender_title]."
"_EMAIL_NOTIFY_MESSAGE_NEW_BODY";"[header]

You have just received a new message from [sender_title]:

[object_description]

Please click the following link to login and view it:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_GROUP_ACCEPTED_SUBJECT";"You have been approved to join the group [object_title] at flutterclub.com"
"_EMAIL_NOTIFY_GROUP_ACCEPTED_BODY";"[header]

You have been approved to join the group ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_GROUP_APPROVE_SUBJECT";"[sender_title] has requested to join the group [object_title] at flutterclub.com!"
"_EMAIL_NOTIFY_GROUP_APPROVE_BODY";"[header]

[sender_title] has requested to join the group ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_GROUP_INVITE_SUBJECT";"You have been invited to join the group [object_title] at flutterclub.com"
"_EMAIL_NOTIFY_GROUP_INVITE_BODY";"[header]

You have been invited to join the group ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"
"_EMAIL_USER_ACCOUNT_APPROVED_SUBJECT";"Your flutterclub.com account has been approved!"
"_EMAIL_USER_ACCOUNT_APPROVED_BODY";"[header]

Your flutterclub.com account has been approved by an administrator. Please click the following link to sign in:

http://[host][object_link]

[footer]"
"_EMAIL_INVITER_SUBJECT";"You have received an invitation to join flutterclub.com!"
"_EMAIL_INVITER_BODY";"Hi [to],

You have been invited by [from] to join flutterclub.com.

To join, please follow the link below:
[link]

Invitation code: [code]

Best Regards,
The flutterclub.com team

----------------------------------------
[message]"
"_EMAIL_NOTIFY_BET_SETTLEMENT_SUBJECT";"Your bet has been settled at flutterclub.com"
"_EMAIL_NOTIFY_BET_SETTLEMENT_BODY";"[header]

Your bet has been settled at flutterclub.com.
Find details below:

[bet_data]

[footer]"
