"News Plugin";"News Plugin"
"NEWS_FORM_ADMIN_CREATE_DESCRIPTION";"This form config to get data from remote servers"
"MUNITE_DESCRIPTION";"(Value is 00 – 59. exact minute the cron executes)"
"_ACTIVITY_ACTIONTYPE_COMMENT_NEWS";"Comments on News entry"
"_ACTIVITY_ACTIONTYPE_NEWS_CONTENT";"Content on News entry"
"_ACTIVITY_ACTIONTYPE_COMMENT_NEWS_CONTENT";"Comments on News entry"
"ACTIVITY_TYPE_LIKE_NEWS";"When someone likes something I have posted on News."
"ACTIVITY_TYPE_LIKED_NEWS";"When someone likes something I liked on News."
"ITEM_TYPE_NEWS_CONTENT";"News Content"
